FIN.TRANSACTION DATE,MCH.MERCHANT NAME,FIN.TRANSACTION AMOUNT
06/02/2018,SAINSBURYS SACAT 0730,11.35
06/02/2018,SMITH & LOW LTD,15.96
07/02/2018,AMAZON UK MARKETPLACE,29.54
07/02/2018,AMAZON EU,100.00
06/02/2018,WWW.ILXGROUP.COM,447.30
06/02/2018,WWW.ILXGROUP.COM,336.98
06/02/2018,WAITROSE 479,15.30
06/02/2018,OXFORD291OFFICE,308.00
05/02/2018,OXFORD GARDEN CENT,175.50
05/02/2018,GWR OXFORD TO,-66.00
05/02/2018,MULTIPLANT LIMITED,166.39
05/02/2018,AMAZON UK MARKETPLACE,27.42
05/02/2018,GWR WEBSALES,136.00
05/02/2018,POSTURITE (UK) LTD,-610.56
05/02/2018,BUNNINGS WAREHOUSE,3.90
05/02/2018,FURNISH 4 LESS LTD,345.00
05/02/2018,AMAZON UK MARKETPLACE,5.20
05/02/2018,AMAZON UK MARKETPLACE,4.58
05/02/2018,THE SOCIETY OF OPE,153.50
05/02/2018,SMITH & LOW LTD,12.88
05/02/2018,CARPETS4LESS,860.22
05/02/2018,BYTEMARK HOSTING,24.00
05/02/2018,PAYPAL  WALKERLOCKS,164.99
05/02/2018,PAYPAL  WALKERLOCKS,-164.99
05/02/2018,RANDOLPH,360.00
02/02/2018,TFL ROAD CHARGE,11.50
05/02/2018,OXFORD291OFFICE,121.00
05/02/2018,UNION STREET CAR PARK,1.50
05/02/2018,AMAZON UK MARKETPLACE,47.39
05/02/2018,B & M ENGINEERS,60.00
05/02/2018,FURNISH 4 LESS LTD,69.00
05/02/2018,BONN SQUARE NEWS,100.50
02/11/2017,CERTSURE LLP,-150.00
05/02/2018,EB  BID WRITING ADVANC,95.00
05/02/2018,EB  BID WRITING THE BA,95.00
05/02/2018,GWR OXFORD TO,220.70
05/02/2018,BOX LTD-ONLINE,64.63
02/02/2018,ONE STOP PC SHOP,1366.36
02/02/2018,WORDPRESS KY5QSFBFLH,84.00
02/02/2018,PAYPAL  WHITEHINGEL,11.49
02/02/2018,PAYPAL  DIRECTWHOLE,4.99
02/02/2018,GWR OXFORD TO,-83.40
02/02/2018,GWR OXFORD TO,-71.30
02/02/2018,RYMAN 1172,10.03
04/02/2018,AMAZON EU AMAZON.CO.UK,6.25
02/02/2018,HOMEBASE LTD 091,119.00
02/02/2018,CITY CAR PARKS,3.50
02/02/2018,TIMPSON LTD,50.00
02/02/2018,TESCO STORES 6292,9.05
02/02/2018,JAFCO TOOLS LTD,240.48
02/02/2018,GO OUTDOORS,270.00
02/02/2018,TRAINLINE,25.65
01/02/2018,INSIGHTLY CRM,127.20
02/02/2018,AO RETAIL LIMITED,674.00
02/02/2018,AO RETAIL LIMITED,758.00
05/02/2018,AMAZON UK MARKETPLACE,121.98
02/02/2018,MET OFFICE,501.22
02/02/2018,CURRYS ONLINE,489.97
02/02/2018,GWR WEBSALES,71.30
02/02/2018,AMAZON UK MARKETPLACE,4.99
01/02/2018,TRAINLINE,151.60
01/02/2018,TRAINLINE,148.60
01/02/2018,SWITCHBOARD,44.32
01/02/2018,WWW.SOUTHSURVEY.CO.UK,333.60
01/02/2018,ENVIROMENT AGENCY,1950.00
01/02/2018,WWW.CATER4YOU.CO.UK,11.35
01/02/2018,AMAZON UK MARKETPLACE,255.34
01/02/2018,CURRYS OXFORD CITY 282,17.98
01/02/2018,WICKES,36.11
